iter	RMSE
0	191573.5054
1	183803.4725
2	176692.2593
3	169771.0657
4	164128.0997
5	158807.5905
6	154099.4326
7	149967.132
8	146364.5021
9	142669.2936
10	139756.2876
11	137098.6438
12	134201.4743
13	131660.2631
14	129447.1565
15	127626.0539
16	125853.8752
17	124287.3691
18	122953.4138
19	121688.379
20	120521.5801
21	119256.7576
22	118327.721
23	117308.4919
24	116497.4249
25	115725.1872
26	114965.013
27	114339.1723
28	113695.8788
29	113155.4076
30	112651.7892
31	112091.8715
32	111705.8657
33	111085.2426
34	110697.9711
35	110305.1556
36	109897.7985
37	109521.2051
38	109147.898
39	108746.9707
40	108434.2471
41	108125.1431
42	107714.0252
43	107470.3584
44	107173.9891
45	106913.0008
46	106672.2179
47	106445.1358
48	106180.596
49	105776.9533
50	105568.263
51	105358.48
52	105120.3046
53	104864.5915
54	104591.9314
