iter	Passed	Remaining
0	50	2750
1	54	1442
2	58	1007
3	61	784
4	65	650
5	68	558
6	71	492
7	75	441
8	78	400
9	81	368
10	85	340
11	88	316
12	91	296
13	94	278
14	98	262
15	101	247
16	104	234
17	108	222
18	111	211
19	114	200
20	118	191
21	121	181
22	124	173
23	127	165
24	131	157
25	134	149
26	137	142
27	140	135
28	144	129
29	147	122
30	150	116
31	153	110
32	156	104
33	159	98
34	162	92
35	165	87
36	168	82
37	172	77
38	175	71
39	178	66
40	181	61
41	184	57
42	187	52
43	190	47
44	193	43
45	196	38
46	199	34
47	202	29
48	205	25
49	208	20
50	211	16
51	215	12
52	218	8
53	221	4
54	224	0
